Stage,n
23.18,0.038
23.15,0.038
23.11,0.038
23.07,0.038
23.04,0.038
23.01,0.038
22.94,0.038
22.94,0.038
22.89,0.038
22.85,0.038
22.79,0.038
22.73,0.038
22.69,0.038
22.58,0.038
22.52,0.038
22.48,0.038
22.42,0.038
22.36,0.038
22.32,0.038
22.29,0.038
22.23,0.038
22.19,0.038
22.15,0.038
22.12,0.038
22.11,0.038
22.06,0.038
22.07,0.038
21.99,0.038
21.96,0.038
21.9,0.038
21.87,0.038
21.82,0.038
21.82,0.038
21.77,0.038
21.7,0.038
21.64,0.038
21.59,0.038
21.51,0.038
21.46,0.038
21.42,0.038
21.36,0.038
21.41,0.038
21.44,0.038
21.48,0.038
21.57,0.038
21.55,0.038
21.54,0.038
21.57,0.038
21.61,0.038
21.62,0.038
21.61,0.038
21.6,0.038
21.6,0.038
21.58,0.038
21.57,0.038
21.53,0.038
21.51,0.038
21.41,0.038
21.32,0.038
21.29,0.038
21.22,0.038
21.13,0.038
21.07,0.038
21,0.038
20.91,0.038
20.84,0.038
20.72,0.038
20.62,0.038
20.55,0.038
20.48,0.038
20.4,0.038
20.31,0.038
20.25,0.038
20.18,0.038
20.12,0.038
20.05,0.038
19.99,0.038
19.95,0.038
19.85,0.038
19.84,0.038
19.76,0.038
19.65,0.038
19.56,0.038
19.48,0.038
19.38,0.038
19.28,0.038
19.17,0.038
19.06,0.038
18.96,0.038
18.86,0.038
18.78,0.038
18.66,0.038
18.59,0.04
18.51,0.04
18.46,0.04
18.43,0.04
18.35,0.04
18.33,0.04
18.29,0.04
18.29,0.04
18.32,0.04
18.3,0.04
18.31,0.04
18.3,0.04
18.27,0.04
18.27,0.04
18.23,0.04
18.05,0.04
17.8,0.04
17.58,0.04
17.39,0.04
17.26,0.04
17.2,0.04
17.12,0.04
17.1,0.04
17.05,0.04
17.01,0.04
16.97,0.04
16.91,0.04
16.87,0.04
16.8,0.04
16.76,0.04
16.69,0.04
16.65,0.04
16.59,0.04
16.52,0.04
16.48,0.04
16.46,0.04
16.47,0.04
16.43,0.04
16.37,0.04
16.36,0.04
16.32,0.04
16.32,0.04
16.26,0.04
16.24,0.04
16.18,0.04
16.27,0.04
16.36,0.04
16.41,0.04
16.39,0.04
16.31,0.04
16.25,0.04
16.19,0.04
16.16,0.04
16.06,0.04
16.06,0.04
15.99,0.04
15.97,0.04
15.92,0.04
15.93,0.04
15.95,0.04
15.92,0.04
15.86,0.04
15.83,0.04
15.76,0.04
15.69,0.04
15.62,0.04
15.54,0.04
15.44,0.04
15.37,0.04
15.29,0.04
15.23,0.04
15.16,0.04
15.09,0.04
15.05,0.04
14.95,0.04
14.92,0.04
14.92,0.04
14.89,0.04
14.9,0.04
14.91,0.04
14.89,0.04
14.86,0.04
14.85,0.04
14.87,0.04
14.89,0.04
14.91,0.04
14.92,0.04
14.98,0.04
15,0.04
15.02,0.04
15.04,0.04
15.08,0.04
15.1,0.04
15.13,0.04
15.16,0.04
15.14,0.04
15.17,0.04
15.19,0.04
15.19,0.04
15.2,0.04
15.2,0.04
15.19,0.04
15.17,0.04
15.16,0.04
15.2,0.04
15.2,0.04
15.24,0.04
15.26,0.04
15.32,0.04
15.34,0.04
15.39,0.04
15.45,0.04
15.47,0.04
15.53,0.04
15.6,0.04
15.65,0.04
15.68,0.04
15.72,0.04
15.78,0.04
15.79,0.04
15.89,0.04
15.93,0.04
15.97,0.04
16.06,0.04
16.1,0.04
16.15,0.04
16.2,0.04
16.26,0.04
16.3,0.04
16.37,0.04
16.41,0.04
16.52,0.04
16.69,0.04
16.82,0.04
16.98,0.04
17.11,0.04
17.21,0.04
17.3,0.04
17.4,0.04
17.45,0.04
17.5,0.04
17.56,0.04
17.57,0.04
17.61,0.04
17.58,0.04
17.6,0.04
17.59,0.04
17.62,0.04
17.64,0.04
17.64,0.04
17.66,0.04
17.68,0.04
17.68,0.04
17.67,0.04
17.68,0.04
17.7,0.04
17.7,0.04
17.68,0.04
17.67,0.04
17.69,0.04
17.7,0.04
17.65,0.04
17.65,0.04
17.59,0.04
17.54,0.04
17.47,0.04
17.43,0.04
17.38,0.04
17.31,0.04
17.22,0.04
17.16,0.04
17.04,0.04
16.97,0.04
16.87,0.04
16.81,0.04
16.73,0.04
16.62,0.04
16.58,0.04
16.47,0.04
16.39,0.04
16.29,0.04
